episode,max_mult,min_mult,surge_util,score,revenue_baseline,revenue_dynamic,revenue_gain_pct,util_baseline,util_dynamic,wait_baseline,wait_dynamic,wait_reduction_pct,offpeak_uplift_sessions,offpeak_uplift_pct,pricing_efficiency,customer_response_rate
0,1.1,0.95,0.8,4.769217136107425,2025419.748493453,2065176.6083678175,1.9628948470526362,0.14773404664897258,0.1488343740981916,87.6619341563786,83.90108681619651,4.2901715281266615,284.26547559279555,3.63417892601375,15.117901327561425,1.0454590025082084
1,1.1243773663803547,0.8980007946879752,0.8225135358741937,7.031264024059309,2025419.748493453,2077723.5706218975,2.582369514632661,0.14773404664897258,0.15094584228204816,87.6619341563786,83.10551259302508,5.197719634186263,617.8875887097754,7.8993555191738105,14.934805264357754,1.0956057112047062
2,1.1243773663803547,0.8980007946879752,0.8225135358741937,7.031264024059309,2025419.748493453,2077723.5706218975,2.582369514632661,0.14773404664897258,0.15094584228204816,87.6619341563786,83.10551259302508,5.197719634186263,617.8875887097754,7.8993555191738105,14.934805264357754,1.0956057112047062
3,1.1230332737800115,0.8553485983092962,0.8488954751200786,8.154568111724565,2025419.748493453,2079129.319866308,2.6517748438468236,0.14773404664897258,0.1530895003694,87.6619341563786,83.28715467185819,4.990512160861433,914.2844830812147,11.688628011777228,14.685705023781129,1.1383656126837953
4,1.1230332737800115,0.8553485983092962,0.8488954751200786,8.154568111724565,2025419.748493453,2079129.319866308,2.6517748438468236,0.14773404664897258,0.1530895003694,87.6619341563786,83.28715467185819,4.990512160861433,914.2844830812147,11.688628011777228,14.685705023781129,1.1383656126837953
5,1.1525333365066115,0.8074044682678463,0.8752489841592968,10.135559051414855,2025419.748493453,2087662.2714088955,3.07306783997439,0.14773404664897258,0.15494521102906758,87.6619341563786,82.39050865996396,6.013357504764891,1214.2737764992976,15.523827365115029,14.517850202859265,1.1841516216425256
6,1.1377443474229907,0.7733579910476492,0.9,10.332313061107506,2025419.748493453,2081467.728217065,2.7672278679667097,0.14773404664897258,0.15640150535306396,87.6619341563786,82.99837175703149,5.3199401133767665,1417.6355918004692,18.1236971593003,14.308194471812072,1.2162983847014113
7,1.1377443474229907,0.7733579910476492,0.9,10.332313061107506,2025419.748493453,2081467.728217065,2.7672278679667097,0.14773404664897258,0.15640150535306396,87.6619341563786,82.99837175703149,5.3199401133767665,1417.6355918004692,18.1236971593003,14.308194471812072,1.2162983847014113
8,1.1707629563506698,0.7948990411980433,0.9,10.745067703611184,2025419.748493453,2092156.40536346,3.2949543875854417,0.14773404664897258,0.1549894741272878,87.6619341563786,81.88047221374926,6.595179536326337,1254.6596208231836,16.040138338317355,14.536395759933626,1.1936856562777327
9,1.1707629563506698,0.7948990411980433,0.9,10.745067703611184,2025419.748493453,2092156.40536346,3.2949543875854417,0.14773404664897258,0.1549894741272878,87.6619341563786,81.88047221374926,6.595179536326337,1254.6596208231836,16.040138338317355,14.536395759933626,1.1936856562777327
