hour_bucket,site,sessions,energy_kwh,mean_utilization,mean_charge_h,mean_energy_cost,capacity,station_utilization,occupancy_density,hour,dow,is_weekend,month,is_peak,lag1_sessions,lag24_sessions,roll3_sessions,lag1_util
2018-04-25 04:00:00-07:00,caltech,1.0,7.932,1.0,2.2016666666666667,5.0,54,0.0407716049382716,0.018518518518518517,4,2,0,4,0,0.0,0.0,1.0,0.0
2018-04-25 05:00:00-07:00,caltech,0.0,0.0,0.0,0.0,7.0,54,0.0,0.0,5,2,0,4,0,1.0,0.0,0.5,0.0407716049382716
2018-04-25 06:00:00-07:00,caltech,2.0,15.27,0.19237855461123887,2.0415277777777776,7.0,54,0.07561213991769547,0.037037037037037035,6,2,0,4,0,0.0,0.0,1.0,0.0
2018-04-25 07:00:00-07:00,caltech,5.0,45.453,0.42167842708012043,2.3096666666666668,7.0,54,0.21385802469135803,0.09259259259259259,7,2,0,4,0,2.0,0.0,2.3333333333333335,0.07561213991769547
2018-04-25 08:00:00-07:00,caltech,15.0,69.505,0.3823921890819569,2.311703703703704,7.0,54,0.6421399176954732,0.2777777777777778,8,2,0,4,1,5.0,0.0,7.333333333333333,0.21385802469135803
2018-04-25 09:00:00-07:00,caltech,8.0,98.398,0.628405591491799,4.290590277777778,7.0,54,0.6356430041152263,0.14814814814814814,9,2,0,4,1,15.0,0.0,9.333333333333334,0.6421399176954732
2018-04-25 10:00:00-07:00,caltech,1.0,5.07,0.24837021393811406,2.254166666666667,7.0,54,0.04174382716049383,0.018518518518518517,10,2,0,4,1,8.0,0.0,8.0,0.6356430041152263
2018-04-25 11:00:00-07:00,caltech,2.0,8.712,0.5457142600337828,4.070277777777778,7.0,54,0.15075102880658436,0.037037037037037035,11,2,0,4,1,1.0,0.0,3.6666666666666665,0.04174382716049383
2018-04-25 12:00:00-07:00,caltech,5.0,43.732,0.6916453353419344,2.8609444444444447,7.0,54,0.26490226337448564,0.09259259259259259,12,2,0,4,1,2.0,0.0,2.6666666666666665,0.15075102880658436
2018-04-25 13:00:00-07:00,caltech,2.0,5.018,0.48194601759537004,1.9034722222222222,7.0,54,0.07049897119341564,0.037037037037037035,13,2,0,4,1,5.0,0.0,3.0,0.26490226337448564
2018-04-25 14:00:00-07:00,caltech,1.0,27.743,1.0,5.145277777777777,7.0,54,0.09528292181069958,0.018518518518518517,14,2,0,4,1,2.0,0.0,2.6666666666666665,0.07049897119341564
2018-04-25 15:00:00-07:00,caltech,2.0,13.996,0.7193526403599455,1.7643055555555556,7.0,54,0.06534465020576131,0.037037037037037035,15,2,0,4,1,1.0,0.0,1.6666666666666667,0.09528292181069958
2018-04-25 16:00:00-07:00,caltech,0.0,0.0,0.0,0.0,7.0,54,0.0,0.0,16,2,0,4,1,2.0,0.0,1.0,0.06534465020576131
2018-04-25 17:00:00-07:00,caltech,4.0,28.294999999999998,0.741605574949501,1.7620833333333334,9.0,54,0.1305246913580247,0.07407407407407407,17,2,0,4,1,0.0,0.0,2.0,0.0
2018-04-25 18:00:00-07:00,caltech,4.0,19.651,0.5686057086594294,2.800486111111111,9.0,54,0.20744341563786006,0.07407407407407407,18,2,0,4,0,4.0,0.0,2.6666666666666665,0.1305246913580247
2018-04-25 19:00:00-07:00,caltech,4.0,33.894,0.9266583705356035,1.3875694444444444,9.0,54,0.10278292181069959,0.07407407407407407,19,2,0,4,0,4.0,0.0,4.0,0.20744341563786006
2018-04-25 20:00:00-07:00,caltech,3.0,11.343,0.5850869996127411,1.2988888888888888,9.0,54,0.07216049382716049,0.05555555555555555,20,2,0,4,0,4.0,0.0,3.6666666666666665,0.10278292181069959
2018-04-25 21:00:00-07:00,caltech,0.0,0.0,0.0,0.0,7.0,54,0.0,0.0,21,2,0,4,0,3.0,0.0,2.3333333333333335,0.07216049382716049
2018-04-25 22:00:00-07:00,caltech,0.0,0.0,0.0,0.0,7.0,54,0.0,0.0,22,2,0,4,0,0.0,0.0,1.0,0.0
2018-04-25 23:00:00-07:00,caltech,1.0,13.926,0.9998219690226099,7.8,7.0,54,0.14444444444444443,0.018518518518518517,23,2,0,4,0,0.0,0.0,0.3333333333333333,0.0
2018-04-26 00:00:00-07:00,caltech,0.0,0.0,0.0,0.0,7.0,54,0.0,0.0,0,3,0,4,0,1.0,0.0,0.3333333333333333,0.14444444444444443
2018-04-26 01:00:00-07:00,caltech,0.0,0.0,0.0,0.0,7.0,54,0.0,0.0,1,3,0,4,0,0.0,0.0,0.3333333333333333,0.0
2018-04-26 02:00:00-07:00,caltech,0.0,0.0,0.0,0.0,7.0,54,0.0,0.0,2,3,0,4,0,0.0,0.0,0.0,0.0
